epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07008,1.65863,3.17379,1.74006,0.9937,0.11862,0.23175,0.17526,1.17349,3.23866,1.2755,0.000408805,0.000408805,0.000408805
2,14.3453,1.39659,2.11699,1.53955,0.79269,0.35328,0.56035,0.38996,1.166,2.36951,1.35067,0.000809127,0.000809127,0.000809127
3,20.4966,1.36447,1.90768,1.52135,0.62876,0.64941,0.66414,0.46851,1.06916,1.66159,1.28402,0.00119295,0.00119295,0.00119295
4,26.6029,1.35149,1.84468,1.51289,0.82834,0.77454,0.83931,0.58215,1.12373,1.39803,1.36601,0.00117575,0.00117575,0.00117575
5,32.7287,1.29897,1.70704,1.44972,0.7942,0.81962,0.87106,0.61526,1.06341,1.29538,1.24226,0.001151,0.001151,0.001151
6,38.8296,1.28282,1.66375,1.45001,0.74015,0.74233,0.80453,0.56665,1.15594,1.28867,1.3872,0.00112625,0.00112625,0.00112625
7,44.9931,1.24631,1.57212,1.41639,0.8342,0.80591,0.86904,0.62474,1.01484,1.17771,1.25673,0.0011015,0.0011015,0.0011015
8,51.1069,1.24319,1.5385,1.40917,0.82535,0.75613,0.83659,0.60021,1.01828,1.15664,1.25119,0.00107675,0.00107675,0.00107675
9,57.2226,1.19863,1.45379,1.37434,0.85774,0.86043,0.92058,0.69633,0.95905,1.00885,1.21014,0.001052,0.001052,0.001052
10,63.3291,1.18773,1.42519,1.37078,0.8214,0.81289,0.8654,0.64255,0.97413,0.98381,1.22721,0.00102725,0.00102725,0.00102725
11,69.4209,1.18527,1.42408,1.37155,0.67071,0.81748,0.78315,0.60276,0.91504,1.10357,1.1777,0.0010025,0.0010025,0.0010025
12,75.5049,1.14748,1.34257,1.34186,0.64771,0.76571,0.72492,0.55841,0.94485,1.0751,1.2015,0.00097775,0.00097775,0.00097775
13,81.5684,1.13063,1.31677,1.33772,0.66351,0.84788,0.78995,0.59963,0.95564,1.00037,1.19995,0.000953,0.000953,0.000953
14,87.628,1.13491,1.30872,1.33437,0.71641,0.83589,0.7903,0.60698,0.9061,0.94816,1.15766,0.00092825,0.00092825,0.00092825
15,93.6717,1.13407,1.29449,1.3345,0.73982,0.79968,0.80217,0.60563,0.95743,0.97574,1.1986,0.0009035,0.0009035,0.0009035
16,99.7821,1.09619,1.24151,1.31124,0.85005,0.85776,0.89449,0.67296,0.95501,0.84459,1.2061,0.00087875,0.00087875,0.00087875
17,105.876,1.08969,1.21753,1.29366,0.82368,0.84824,0.88343,0.6664,0.95982,0.91632,1.17956,0.000854,0.000854,0.000854
18,111.959,1.07867,1.20522,1.2945,0.60374,0.85434,0.66815,0.5291,0.88492,1.10372,1.15665,0.00082925,0.00082925,0.00082925
19,118.037,1.07494,1.17487,1.30914,0.62111,0.84578,0.72261,0.5675,0.87133,0.96281,1.11174,0.0008045,0.0008045,0.0008045
20,124.104,1.07529,1.17857,1.29242,0.68188,0.88994,0.77828,0.60897,0.86108,0.87732,1.14282,0.00077975,0.00077975,0.00077975
21,130.282,1.051,1.14626,1.27709,0.80108,0.87196,0.88656,0.69994,0.82632,0.87573,1.10908,0.000755,0.000755,0.000755
22,136.393,1.04611,1.13817,1.27786,0.84757,0.90798,0.92437,0.72406,0.85711,0.75192,1.11912,0.00073025,0.00073025,0.00073025
23,142.536,1.03831,1.11875,1.2571,0.61161,0.80828,0.66077,0.52272,0.8646,0.98269,1.12358,0.0007055,0.0007055,0.0007055
24,148.607,1.03322,1.11486,1.2672,0.71749,0.84356,0.81727,0.6455,0.85533,0.83547,1.13157,0.00068075,0.00068075,0.00068075
25,154.684,1.00276,1.05602,1.23518,0.73276,0.862,0.82448,0.65357,0.83065,0.79726,1.11,0.000656,0.000656,0.000656
26,160.835,1.00862,1.05406,1.24074,0.78592,0.86447,0.87267,0.6906,0.83063,0.77383,1.12515,0.00063125,0.00063125,0.00063125
27,166.935,1.0001,1.03811,1.23881,0.61795,0.82885,0.71472,0.57026,0.82465,0.87704,1.11733,0.0006065,0.0006065,0.0006065
28,173.005,0.99092,1.03578,1.22749,0.65886,0.87501,0.79373,0.63563,0.829,0.83863,1.10114,0.00058175,0.00058175,0.00058175
29,179.092,0.98139,1.00576,1.21731,0.71641,0.86353,0.82313,0.64354,0.83717,0.79961,1.13075,0.000557,0.000557,0.000557
30,185.156,0.97008,1.02694,1.22537,0.60223,0.87785,0.71992,0.57299,0.84181,0.90212,1.12653,0.00053225,0.00053225,0.00053225
31,191.249,0.96437,0.99528,1.2204,0.77293,0.8552,0.87317,0.68576,0.84648,0.72928,1.14205,0.0005075,0.0005075,0.0005075
32,197.314,0.96991,1.00068,1.22633,0.81688,0.86699,0.88945,0.70875,0.81261,0.70013,1.09564,0.00048275,0.00048275,0.00048275
33,203.389,0.95366,0.98618,1.20986,0.61171,0.87117,0.69699,0.56275,0.8152,0.91301,1.11525,0.000458,0.000458,0.000458
34,209.435,0.95925,0.98253,1.22191,0.57805,0.84829,0.64053,0.51942,0.81534,0.93124,1.10499,0.00043325,0.00043325,0.00043325
35,215.515,0.93678,0.97538,1.20686,0.5946,0.85123,0.66703,0.53481,0.82507,0.93468,1.11664,0.0004085,0.0004085,0.0004085
36,221.566,0.92176,0.91558,1.17829,0.64376,0.86865,0.77771,0.62028,0.83222,0.82903,1.11195,0.00038375,0.00038375,0.00038375
37,227.65,0.93963,0.9669,1.20339,0.64118,0.85827,0.74034,0.5995,0.80339,0.81112,1.09916,0.000359,0.000359,0.000359
38,233.727,0.91437,0.92248,1.18383,0.61673,0.8838,0.75412,0.61057,0.79925,0.83716,1.09164,0.00033425,0.00033425,0.00033425
39,239.78,0.91074,0.91955,1.18604,0.66746,0.83676,0.74337,0.60327,0.81361,0.82437,1.10367,0.0003095,0.0003095,0.0003095
40,245.891,0.9038,0.91319,1.18654,0.64756,0.89638,0.77617,0.62627,0.78842,0.77011,1.09486,0.00028475,0.00028475,0.00028475
41,252.496,0.81248,0.77902,1.13912,0.59012,0.84173,0.63083,0.51873,0.78989,0.92979,1.09788,0.00026,0.00026,0.00026
42,258.631,0.80343,0.74595,1.13738,0.64637,0.82988,0.73015,0.58838,0.79696,0.84448,1.09656,0.00023525,0.00023525,0.00023525
43,264.666,0.78907,0.72751,1.12951,0.63439,0.82655,0.68209,0.55471,0.80233,0.88994,1.11212,0.0002105,0.0002105,0.0002105
44,270.632,0.76846,0.70859,1.1062,0.65412,0.84226,0.74709,0.59929,0.79451,0.84698,1.09149,0.00018575,0.00018575,0.00018575
45,276.622,0.76973,0.70576,1.11091,0.65959,0.79398,0.71978,0.57907,0.8169,0.86285,1.11149,0.000161,0.000161,0.000161
46,282.595,0.7508,0.69545,1.10156,0.65983,0.81442,0.74841,0.60502,0.80175,0.82438,1.0967,0.00013625,0.00013625,0.00013625
47,288.581,0.74776,0.67455,1.09345,0.67161,0.80659,0.71596,0.58486,0.79028,0.87639,1.08697,0.0001115,0.0001115,0.0001115
48,294.581,0.7408,0.67056,1.08378,0.68593,0.80408,0.76138,0.61819,0.7864,0.82975,1.08974,8.675e-05,8.675e-05,8.675e-05
49,300.603,0.72788,0.65298,1.08827,0.74313,0.82536,0.79682,0.65176,0.77106,0.76357,1.08079,6.2e-05,6.2e-05,6.2e-05
50,306.634,0.72426,0.64171,1.06886,0.70799,0.82515,0.76161,0.6215,0.7849,0.8099,1.09469,3.725e-05,3.725e-05,3.725e-05
